STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,age,Age class,isced11,International Standard Classification of Education (ISCED 2011),wstatus,Labour force and employment status,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CH,Switzerland,2017,,13.7,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CH,Switzerland,2018,,15.2,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CH,Switzerland,2019,,13.3,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CH,Switzerland,2020,,12.5,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CH,Switzerland,2021,,21.2,,b,break in time series,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CH,Switzerland,2022,,27.3,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CH,Switzerland,2023,,27.3,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CH,Switzerland,2024,,29.5,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CY,Cyprus,2010,,4.0,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CY,Cyprus,2011,,3.2,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CY,Cyprus,2012,,3.0,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CY,Cyprus,2013,,2.6,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CY,Cyprus,2014,,2.9,,b,break in time series,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CY,Cyprus,2015,,3.5,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CY,Cyprus,2016,,2.4,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CY,Cyprus,2017,,2.3,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CY,Cyprus,2018,,1.8,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CY,Cyprus,2019,,2.2,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CY,Cyprus,2020,,3.1,,,,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CY,Cyprus,2021,,1.8,,b,break in time series,,
dataflow,ESTAT:LFSA_ESGAED(1.0),Self-employed persons by educational attainment level,A,Annual,THS_PER,Thousand persons,F,Females,Y20-64,From 20 to 64 years,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",SELF,Self-employed persons,CY,Cyprus,2022,,1.8,,,,,
